##
##  InChi => KEGG
## 2020.6.24 Osaka Univ.
## from https://github.com/fumiomatsuda/blankmaps/tree/master/ids
##
%Allow_Multiple_Output
C00002	ZKHQWZAMYRWXGA-KQYNXXCUSA-N
C00003	BAWFJGJZGIEFAR-NNYOXOHSSA-O
C00004	BOPGDPNILDQYTO-NNYOXOHSSA-N
C00005	ACFIXJIJDZMPPO-NNYOXOHSSA-N
C00006	XJLXINKUBYWONI-NNYOXOHSSA-O
C00008	XTWYTFMLZFPYCI-KQYNXXCUSA-N
C00009	NBIIXXVUZAFLBC-UHFFFAOYSA-N
C00010	RGJOEKWQDUBAIZ-IBOSZNHHSA-N
C00013	XPPKVPWEQAFLFU-UHFFFAOYSA-N
C00015	XCCTYIAWTASOJW-XVFCMESISA-N
C00016	VWWQXMAJTJZDQX-UYBVJOGSSA-N
C00018	NGVDGCNFYWLIFO-UHFFFAOYSA-N
C00019	MEFKEPWMEQBLKI-AIRLBKTGSA-N
C00020	UDMBCSSLTHHNCD-KQYNXXCUSA-N
C00021	ZJUKTBDSGOFHSH-WFMPWKQPSA-N
C00022	LCTONWCANYUPML-UHFFFAOYSA-N
C00024	ZSLZBFCDCINBPY-ZSJPKINUSA-N
C00025	WHUUTDBJXJRKMK-VKHMYHEASA-N
C00026	KPGXRSRHYNQIFN-UHFFFAOYSA-N
C00029	HSCJRCZFDFQWRP-JZMIEXBBSA-N
C00031	WQZGKKKJIJFFOK-GASJEMHNSA-N
C00035	QGWNDRXFNXRZMB-UUOKFMHZSA-N
C00036	KHPXUQMNIQBQEV-UHFFFAOYSA-N
C00037	DHMQDGOQFOQNFH-UHFFFAOYSA-N
C00041	QNAYBMKLOCPYGJ-UHFFFAOYSA-N
C00042	KDYFGRWQOYBRFD-UHFFFAOYSA-N
C00043	LFTYTUAZOPRMMI-CFRASDGPSA-N
C00044	XKMLYUALXHKNFT-UUOKFMHZSA-N
C00047	KDXKERNSBIXSRK-YFKPBYRVSA-N
C00048	HHLFWLYXYJOTON-UHFFFAOYSA-N
C00049	CKLJMWTZIZZHCS-REOHCLBHSA-N
C00051	RWSXRVCMGQZWBV-WDSKDSINSA-N
C00052	HSCJRCZFDFQWRP-ABVWGUQPSA-N
C00055	IERHLVCPSMICTF-XVFCMESISA-N
C00061	FVTCRASFADXXNN-SCRDCRAPSA-N
C00062	ODKSFYDXXFIFQN-BYPYZUCNSA-N
C00063	PCDQPRRSZKQHHS-XVFCMESISA-N
C00064	ZDXPYRJPNDTMRX-VKHMYHEASA-N
C00065	MTCFGRXMJLQNBG-REOHCLBHSA-N
C00068	YXVCLPJQTZXJLH-UHFFFAOYSA-N
C00072	CIWBSHSKHKDKBQ-JLAZNSOCSA-N
C00073	FFEARJCKVFRZRR-BYPYZUCNSA-N
C00074	DTBNBXWJWCWCIK-UHFFFAOYSA-N
C00075	PGAVKCOVUIYSFO-XVFCMESISA-N
C00077	AHLPHDHHMVZTML-BYPYZUCNSA-N
C00078	QIVBCDIJIAJPQS-VIFPVBQESA-N
C00079	COLNVLDHVKWLRT-QMMMGPOBSA-N
C00081	HAEJPQIATWHALX-KQYNXXCUSA-N
C00082	OUYCCCASQSFEME-QMMMGPOBSA-N
C00083	LTYOQGRJFJAKNA-DVVLENMVSA-N
C00085	GSXOAOHZAIYLCY-HSUXUTPPSA-N
C00086	XSQUKJJJFZCRTK-UHFFFAOYSA-N
C00089	CZMRCDWAGMRECN-UGDNZRGBSA-N
C00090	YCIMNLLNPGFGHC-UHFFFAOYSA-N
C00091	VNOYUJKHFWYWIR-ITIYDSSPSA-N
C00092	NBSCHQHZLSJFNQ-GASJEMHNSA-N
C00093	AWUCVROLDVIAJX-GSVOUGTGSA-N
C00096	MVMSCBBUIHUTGJ-GDJBGNAASA-N
C00097	XUJNEKJLAYXESH-REOHCLBHSA-N
C00099	UCMIRNVEIXFBKS-UHFFFAOYSA-N
C00101	MSTNYGQPCMXVAQ-KIYNQFGBSA-N
C00103	HXXFSFRBOHSIMQ-VFUOTHLCSA-N
C00104	JPXZQMKKFWMMGK-KQYNXXCUSA-N
C00105	DJJCXFVJDGTHFX-XVFCMESISA-N
C00106	ISAKRJDGNUQOIC-UHFFFAOYSA-N
C00108	RWZYAGGXGHYGMB-UHFFFAOYSA-N
C00109	TYEYBOSBBBHJIV-UHFFFAOYSA-N
C00111	GNGACRATGGDKBX-UHFFFAOYSA-N
C00112	ZWIADYZPOWUWEW-XVFCMESISA-N
C00114	OEYIOHPDSNJKLS-UHFFFAOYSA-N
C00116	PEDCQBHIVMGVHV-UHFFFAOYSA-N
C00117	KTVPXOYAKDPRHY-SOOFDHNKSA-N
C00118	LXJXRIRHZLFYRP-VKHMYHEASA-N
C00119	PQGCEDQWHSBAJP-TXICZTDVSA-N
C00120	YBJHBAHKTGYVGT-ZKWXMUAHSA-N
C00121	HMFHBZSHGGEWLO-SOOFDHNKSA-N
C00122	VZCYOOQTPOCHFL-OWOJBTEDSA-N
C00123	ROHFNLRQFUQHCH-YFKPBYRVSA-N
C00124	WQZGKKKJIJFFOK-SVZMEOIVSA-N
C00127	YPZRWBKMTBYPTK-BJDJZHNGSA-N
C00129	NUHSROFQTUXZQQ-UHFFFAOYSA-N
C00130	GRSZFWQUAKGDAV-KQYNXXCUSA-N
C00131	SUYVUBYJARFZHO-RRKCRQDMSA-N
C00134	KIDHWZJUCRJVML-UHFFFAOYSA-N
C00135	HNDVDQJCIGZPNO-YFKPBYRVSA-N
C00137	CDAISMWEOUEBRE-UHFFFAOYSA-N
C00140	OVRNDRQMDRJTHS-RTRLPJTCSA-N
C00141	QHKABHOOEWYVLI-UHFFFAOYSA-N
C00144	RQFCJASXJCIDSX-UUOKFMHZSA-N
C00146	ISWSIDIOOBJBQZ-UHFFFAOYSA-N
C00147	GFFGJBXGBJISGV-UHFFFAOYSA-N
C00148	ONIBWKKTOPOVIA-BYPYZUCNSA-N
C00149	BJEPYKJPYRNKOW-REOHCLBHSA-N
C00152	DCXYFEDJOCDNAF-REOHCLBHSA-N
C00153	DFPAKSUCGFBDDF-UHFFFAOYSA-N
C00155	FFFHZYDWPBMWHY-UKHMYHEASA-N
C00156	FJKROLUGYXJWQN-UHFFFAOYSA-N
C00158	KRKNYBCHXYNGOX-UHFFFAOYSA-N
C00159	WQZGKKKJIJFFOK-QTVWNMPRSA-N
C00160	AEMRFAOFKBGASW-UHFFFAOYSA-N
C00163	XBDQKXXYIPTUBI-UHFFFAOYSA-N
C00164	WDJHALXBUFZDSR-UHFFFAOYSA-N
C00166	BTNMPGBKDVTSJY-UHFFFAOYSA-N
C00167	HDYANYHVCAPMJV-LXQIFKJMSA-N
C00168	HHDDCCUIIUWNGJ-UHFFFAOYSA-N
C00169	FFQKYPRQEYGKAF-UHFFFAOYSA-N
C00170	WUUGFSXJNOTRMR-IOSLPCCCSA-N
C00178	RWQNBRDOKXIBIV-UHFFFAOYSA-N
C00179	QYPPJABKJHAVHS-UHFFFAOYSA-N
C00180	WPYMKLBDIGXBTP-UHFFFAOYSA-N
C00181	SRBFZHDQGSBBOR-IOVATXLUSA-N
C00183	KZSNJWFQEVHDMF-BYPYZUCNSA-N
C00184	RXKJFZQQPQGTFL-UHFFFAOYSA-N
C00186	JVTAAEKCZFNVCJ-REOHCLBHSA-N
C00187	HVYWMOMLDIMFJA-DPAQBDIFSA-N
C00188	AYFVYJQAPQTCCC-GBXIJSLDSA-N
C00189	HZAXFHJVJLSVMW-UHFFFAOYSA-N
C00191	AEMOLEFTQBMNLQ-AQKNRBDQSA-N
C00192	AVXURJPOCDRRFD-UHFFFAOYSA-N
C00196	GLDQAMYCGOIJDV-UHFFFAOYSA-N
C00197	OSJPPGNTCRNQQC-UWTATZPHSA-N
C00198	PHOQVHQSTUBQQK-SQOUGZDYSA-N
C00199	FNZLKVNUWIIPSJ-UHNVWZDZSA-N
C00206	DAEAPNUQQAICNR-RRKCRQDMSA-N
C00209	MUBZPKHOEPUJKR-UHFFFAOYSA-N
C00212	OIRDTQYFTABQOQ-KQYNXXCUSA-N
C00213	FSYKKLYZXJSNPZ-UHFFFAOYSA-N
C00214	IQFYYKKMVGJFEH-XLPZGREQSA-N
C00216	PYMYPHUHKUWMLA-WDCZJNDASA-N
C00219	YZXBAPSDXZZRGB-DOFZRALJSA-N
C00230	YQUVCSBJEUQKSH-UHFFFAOYSA-N
C00231	FNZLKVNUWIIPSJ-RFZPGFLSSA-L
C00232	UIUJIQZEACWQSV-UHFFFAOYSA-N
C00233	BKAJNAXTPSGJCU-UHFFFAOYSA-N
C00234	AUFGTPPARQZWDO-YUZLPWPTSA-N
C00235	CBIDRCWHNCKSTO-UHFFFAOYSA-N
C00236	LJQLQCAXBUHEAZ-UWTATZPHSA-N
C00239	NCMVOABPESMRCP-SHYZEUOFSA-N
C00242	UYTPUPDQBNUYGX-UHFFFAOYSA-N
C00245	XOAAWQZATWQOTB-UHFFFAOYSA-N
C00246	FERIUCNNQQJTOY-UHFFFAOYSA-N
C00249	IPCSVZSSVZVIGE-UHFFFAOYSA-N
C00250	RADKZDMFGJYCBB-UHFFFAOYSA-N
C00252	DLRVVLDZNNYCBX-RTPHMHGBSA-N
C00253	PVNIIMVLHYAWGP-UHFFFAOYSA-N
C00254	FPWMCUPFBRFMLH-UHFFFAOYSA-N
C00255	AUNGANRZJHBGPY-SCRDCRAPSA-N
C00257	RGHNJXZEOKUKBD-SQOUGZDYSA-N
C00258	RBNPOMFGQQGHHO-UWTATZPHSA-N
C00259	SRBFZHDQGSBBOR-HWQSCIPKSA-N
C00262	FDGQSTZJBFJUBT-UHFFFAOYSA-N
C00263	UKAUYVFTDYCKQA-VKHMYHEASA-N
C00275	NBSCHQHZLSJFNQ-QTVWNMPRSA-N
C00279	NGHMDNPXVRFFGS-IUYQGCFVSA-N
C00286	HAAZLUGHYHWQIW-KVQBGUIXSA-N
C00294	UGQMRVRMYYASKQ-KQYNXXCUSA-N
C00295	PXQPEWDEAKTCGB-UHFFFAOYSA-N
C00296	AAWZDTNXLSGCEK-LNVDRNJUSA-N
C00299	DRTQHJPVMGBUCF-XVFCMESISA-N
C00300	CVSVTCORWBXHQV-UHFFFAOYSA-N
C00301	SRNWOUGRCWSEMX-KEOHHSTQSA-N
C00307	RZZPDXZPRHQOCG-OJAKKHQRSA-N
C00309	ZAQJHHRNXZUBTE-UHFFFAOYSA-N
