グループ	MapID	ソート用	マップ上の名前	名前	CAS	PubChem	KEGG	Inchikey	ChEBI	HMDB	Lipidmaps	lipid categories No.
matuda	SBmap07	Adenosine triphosphate	ATP	Adenosine triphosphate;Adenosine 5'-triphosphate	56-65-5	5957	C00002	ZKHQWZAMYRWXGA-KQYNXXCUSA-N	CHEBI:15422			
matuda	SBmap07	NAD	NAD	NAD;Nicotinamide adenine dinucleotide	53-84-9	5893	C00003	BAWFJGJZGIEFAR-NNYOXOHSSA-O	CHEBI:15846			
matuda	SBmap07	NADH	NADH	NADH;Reduced nicotinamide adenine dinucleotide	58-68-4	439153	C00004	BOPGDPNILDQYTO-NNYOXOHSSA-N	CHEBI:16908			
matuda	SBmap07	NADPH	NADPH	NADPH;Reduced nicotinamide adenine dinucleotide phosphate	2646-71-1	5884	C00005	ACFIXJIJDZMPPO-NNYOXOHSSA-N	CHEBI:16474			
matuda	SBmap07	NADP	NADP	NADP;Nicotinamide adenine dinucleotide phosphate	53-59-8	5886	C00006	XJLXINKUBYWONI-NNYOXOHSSA-O	CHEBI:18009			
matuda	SBmap07	Adenosine diphosphate	ADP	Adenosine diphosphate;Adenosine 5'-diphosphate	58-64-0	6022	C00008	XTWYTFMLZFPYCI-KQYNXXCUSA-N	CHEBI:16761			
matuda	SBmap07	Phosphoric acid	Phosphoric acid	Phosphoric acid	7664-38-2	1004	C00009	NBIIXXVUZAFLBC-UHFFFAOYSA-N	CHEBI:26078			
matuda	SBmap07	CoA	CoA	CoA;Coenzyme A	85-61-0	87642	C00010	RGJOEKWQDUBAIZ-IBOSZNHHSA-N	CHEBI:15346			
matuda	SBmap11	Pyrophosphate	Pyrophosphate		2466-09-3	1023	C00013	XPPKVPWEQAFLFU-UHFFFAOYSA-N	CHEBI:29888			
matuda	SBmap07	Uridine diphosphate	UDP	Uridine diphosphate;Uridine 5'-diphosphate	58-98-0	6031	C00015	XCCTYIAWTASOJW-XVFCMESISA-N	CHEBI:17659			
matuda	SBmap07	FAD	FAD	FAD;Flavin adenine dinucleotide	146-14-5	643975	C00016	VWWQXMAJTJZDQX-UYBVJOGSSA-N	CHEBI:16238			
matuda	SBmap11	Pyridoxal 5'-phosphate	Pyridoxal-5P		54-47-7	1051	C00018	NGVDGCNFYWLIFO-UHFFFAOYSA-N	CHEBI:18405			
matuda	SBmap07	Adenosylmethionine	SAM	S-Adenosylmethionine	29908-03-0	34755	C00019	MEFKEPWMEQBLKI-AIRLBKTGSA-N	CHEBI:15414			
matuda	SBmap07	Adenosine monophosphate	AMP	Adenosine monophosphate;Adenosine 5'-monophosphate	61-19-8	6083	C00020	UDMBCSSLTHHNCD-KQYNXXCUSA-N	CHEBI:16027			
matuda	SBmap07	Adenosylhomocysteine	S-Adenosylhomocysteine	S-Adenosylhomocysteine;S-Adenosyl-L-homocysteine;SAH	979-92-0	439155	C00021	ZJUKTBDSGOFHSH-WFMPWKQPSA-N	CHEBI:16680			
matuda	SBmap07	Pyruvic acid	Pyruvic acid	Pyruvic acid;Pyruvate;Pyr	127-17-3	1060	C00022	LCTONWCANYUPML-UHFFFAOYSA-N	CHEBI:15361			
matuda	SBmap07	Acetyl coenzyme A	Acetyl coenzyme A;Acetyl CoA	Acetyl coenzyme A;AcetylCOA;Acetyl-Coenzyme A;Ace-CoA;AcetylCoA	72-89-9	444493	C00024	ZSLZBFCDCINBPY-ZSJPKINUSA-N	CHEBI:15351			
sawai	SBmap07	Glutamic acid	Glutamic acid	Glutamic acid;Glu	56-86-0;10549-13-0;138-16-9;6899-05-4;2087491-17-4;25513-46-6;24938-00-9;26717-13-5;84960-48-5;6106-04-3	33032	C00025	WHUUTDBJXJRKMK-VKHMYHEASA-N	CHEBI:16015			
sawai	SBmap07	Glutamic acid	L-Glutamate	L-Glutamic acid;Glutamate	56-86-0;10549-13-0;138-16-9;6899-05-4;2087491-17-4;25513-46-6;24938-00-9;26717-13-5;84960-48-5;6106-04-3	33032	C00025	WHUUTDBJXJRKMK-VKHMYHEASA-N	CHEBI:16015			
sawai	SBmap07	Ketoglutaric acid	2-Ketoglutaric acid	2-Ketoglutaric acid;2-Oxoglutarate;2KG	328-50-7;27175-99-1;34410-46-3;17091-15-5;22202-68-2;997-43-3	51	C00026	KPGXRSRHYNQIFN-UHFFFAOYSA-N	CHEBI:30915			
sawai	SBmap07	UDP-glucose	UDP-glucose	UDP-glucose;Uridine 5'-diphosphate glucose;UDP-Glc	133-89-1	8629	C00029	HSCJRCZFDFQWRP-JZMIEXBBSA-N	CHEBI:46229			
sawai	SBmap07	Glucose	Glucose	Glucose	50-99-7;2280-44-6	5793	C00031	WQZGKKKJIJFFOK-GASJEMHNSA-N	CHEBI:4167			
sawai	SBmap07	Guanosine diphosphate	GDP	Guanosine diphosphate;Guanosine 5'-diphosphate	146-91-8	135398619	C00035	QGWNDRXFNXRZMB-UUOKFMHZSA-N	CHEBI:17552			
sawai	SBmap07	Oxalacetic acid	Oxalacetic acid	Oxalacetic acid;Oxaloacetate;OAA	328-42-7	970	C00036	KHPXUQMNIQBQEV-UHFFFAOYSA-N	CHEBI:30744			
sawai	SBmap07	Glycine	Glycine	Glycine;Gly	56-40-6;52955-63-2;57678-19-0;87867-94-5;848646-45-7;1119449-36-3;1173020-11-5;1196157-78-4;1153953-88-8;18875-39-3;25718-94-9	750	C00037	DHMQDGOQFOQNFH-UHFFFAOYSA-N	CHEBI:15428			
